from,relation,to,notes
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/core/embedding_generator.py,Loads EmbeddingGenerator in load_engines()
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/archetypes/delta144_engine.py,Loads Delta144Engine in load_engines()
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/bias/detector.py,Loads BiasDetector in load_engines()
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/tau/tau_layer.py,Loads TauLayer in load_engines()
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/safeguard/safeguard_engine.py,Loads SafeguardEngine in load_engines()
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/unification/registry.py,Uses ModuleRegistry
packages/engine/kaldra_engine/unification/kernel.py,depends_on,packages/engine/kaldra_engine/unification/orchestrator.py,Creates PipelineOrchestrator
packages/engine/kaldra_engine/unification/orchestrator.py,depends_on,packages/engine/kaldra_engine/unification/registry.py,Access modules via registry
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/archetypes/delta144_engine.py,Uses Delta144Engine for base inference
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/kindras/kindra_cultural_mod.py,Uses KaldraKindraCulturalMod for modulation
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/tw369/tw369_integration.py,Uses TW369Integrator for drift
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/tau/tau_layer.py,Uses TauLayer for epistemic limits
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/safeguard/safeguard_engine.py,Uses SafeguardEngine for safety
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/archetypes/delta12_vector.py,Uses Delta12Vector
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/core/hardening/fallbacks.py,Uses safe_fallback decorator
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/core/hardening/timeouts.py,Uses with_timeout decorator
packages/engine/kaldra_engine/core/kaldra_master_engine.py,depends_on,packages/engine/kaldra_engine/infrastructure/execution/parallel_executor.py,Uses ParallelExecutor
packages/engine/kaldra_engine/tw369/tw369_integration.py,depends_on,packages/engine/kaldra_engine/tw369/tracy_widom.py,Uses TW statistics
